ElementName;Langage;Tag;Prop1;Prop2;Prop3;Prop4;Prop5
element000;Angular JS;div;id;label;text;name;n
element001;technoY;div;class;n;n;n;n
element002;technoY;p;class;n;n;n;n
element003;technoY;span;textcontent;n;n;n;n
element004;technoY;span;textcontent;n;n;n;n
element005;technoY;span;textcontent;n;n;n;n
element006;technoY;span;textcontent;n;n;n;n
element007;technoY;span;textcontent;n;n;n;n
element008;technoY;button;class;n;n;n;n
element009;technoY;button;data-ng-click;n;n;n;n
element010;technoY;button;data-ng-click;n;n;n;n
element011;technoY;button;ng-click;n;n;n;n
element012;technoY;button;class;n;n;n;n
element013;technoY;button;textcontent;n;n;n;n
element014;technoY;button;textcontent;n;n;n;n
element015;technoY;div;class;n;n;n;n
element016;technoY;div;class;n;n;n;n
element017;technoY;div;class;textcontent;n;n;n
element018;technoY;div;class;textcontent;n;n;n
element019;technoY;div;class;textcontent;n;n;n
element020;technoY;div;class;data-ng-click;n;n;n
element021;technoY;div;class;data-ng-click;n;n;n
element022;technoY;div;class;data-ng-click;n;n;n
element023;technoY;div;class;data-ng-click;n;n;n
element024;technoY;div;class;data-ng-click;n;n;n
element025;technoY;div;class;data-ng-click;n;n;n
element026;technoY;div;class;data-ng-click;n;n;n
element027;technoY;div;data-ng-click;n;n;n;n
element028;technoY;div;data-ng-click;class;textcontent;n;n
element029;technoY;div;data-ng-click;class;textcontent;n;n
element030;technoY;div;ng-repeat;n;n;n;n
element031;technoY;div;class;class;n;n;n
element032;technoY;div;textcontent;n;n;n;n
element034;technoY;span;class;n;n;n;n
element035;technoY;button;class;n;n;n;n
element036;technoY;button;class;n;n;n;n
element037;technoY;button;class;n;n;n;n
element038;technoY;button;class;n;n;n;n
element039;technoY;button;class;n;n;n;n
element040;technoY;button;class;n;n;n;n
element041;technoY;button;class;n;n;n;n
element042;technoY;button;class;n;n;n;n
element043;technoY;button;class;n;n;n;n
element044;technoY;button;data-ng-click;n;n;n;n
element045;technoY;button;data-ng-click;n;n;n;n
element046;technoY;button;data-ng-click;n;n;n;n
element047;technoY;button;data-ng-click;n;n;n;n
element048;technoY;button;data-ng-click;n;n;n;n
element049;technoY;button;data-ng-click;n;n;n;n
